,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
193,,FARMERS BANK OF BLACKBURN,COMMERCIAL BANK,STATE,BLACKBURN,2/17/1938 ,FDIC,,PAYOUT,51,79.0,
194,,STATE BANK OF SURPRISE,COMMERCIAL BANK,STATE,SURPRISE,2/28/1938 ,FDIC,,PAYOUT,56,65.0,
195,,CITIZENS STATE BANK,COMMERCIAL BANK,STATE,HARTFORD,3/2/1938 ,FDIC,,PAYOUT,94,118.0,
196,,"BANK OF NORTHAMPTON, INCORPORATED",COMMERCIAL BANK,STATE,NASSAWADOX,3/3/1938 ,FDIC,,ACQUISITION,300,,
197,,HOME SAVINGS BANK,COMMERCIAL BANK,STATE,DES MOINES,3/5/1938 ,FDIC,,ACQUISITION,1246,,
198,,FIRST STATE BANK,COMMERCIAL BANK,STATE,KULM,3/14/1938 ,FDIC,,PAYOUT,142,212.0,
199,,THE BORDEN STATE BANK,COMMERCIAL BANK,STATE,BORDEN,3/18/1938 ,FDIC,,PAYOUT,135,165.0,
200,,MERCHANTS' AND MECHANICS' SAVINGS BANK OF NORFOLK,COMMERCIAL BANK,STATE,NORFOLK,3/26/1938 ,FDIC,,ACQUISITION,2941,,
201,,MARGATE TRUST COMPANY,COMMERCIAL BANK,STATE,MARGATE CITY,4/2/1938 ,FDIC,,PAYOUT,367,702.0,
202,,BANK OF ELLENBORO,COMMERCIAL BANK,STATE,ELLENBORO,4/9/1938 ,FDIC,,ACQUISITION,54,,
203,,THE CITY NATIONAL BANK OF HARRISBURG,COMMERCIAL BANK,FEDERAL,HARRISBURG,4/9/1938 ,FDIC,,ACQUISITION,2795,,
204,,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,COLFAX,4/9/1938 ,FDIC,,PAYOUT,83,117.0,
205,,WEST JERSEY TRUST COMPANY,COMMERCIAL BANK,STATE,CAMDEN,4/11/1938 ,FDIC,,ACQUISITION,8985,,
206,,CAMDEN SAFE DEPOSIT & TRUST COMPANY,COMMERCIAL BANK,STATE,CAMDEN,4/11/1938 ,FDIC,,ACQUISITION,22564,,
207,,FIRST STATE BANK OF IPSWICH,COMMERCIAL BANK,STATE,IPSWICH,4/12/1938 ,FDIC,,PAYOUT,184,210.0,
208,,FIRST STATE BANK,COMMERCIAL BANK,STATE,TURTLE LAKE,4/19/1938 ,FDIC,,PAYOUT,144,186.0,
209,,BANK OF HUMBOLDT,COMMERCIAL BANK,STATE,HUMBOLDT,4/19/1938 ,FDIC,,PAYOUT,131,194.0,
210,,CAROLINE STATE BANK,COMMERCIAL BANK,STATE,CAROLINE,4/20/1938 ,FDIC,,PAYOUT,134,168.0,
211,,STATE BANK OF IRENE,COMMERCIAL BANK,STATE,IRENE,4/25/1938 ,FDIC,,PAYOUT,142,176.0,
212,,SUSSEX STATE BANK,COMMERCIAL BANK,STATE,SUSSEX,5/14/1938 ,FDIC,,ACQUISITION,290,,
213,,CITIZENS STATE BANK OF ANDOVER,COMMERCIAL BANK,STATE,ANDOVER,5/17/1938 ,FDIC,,PAYOUT,48,78.0,
214,,FARMERS SAVINGS BANK,COMMERCIAL BANK,STATE,ANKENY,5/19/1938 ,FDIC,,PAYOUT,163,186.0,
215,,GERMAN STATE BANK OF BEULAH,COMMERCIAL BANK,STATE,BEULAH,5/31/1938 ,FDIC,,PAYOUT,100,122.0,
216,,LEOPOLIS STATE BANK,COMMERCIAL BANK,STATE,LEOPOLIS,6/3/1938 ,FDIC,,PAYOUT,143,205.0,
217,,RUSSELL STATE BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,RUSSELL,6/17/1938 ,FDIC,,PAYOUT,185,217.0,
218,,CENTRAL SAVINGS BANK,COMMERCIAL BANK,STATE,NEWPORT,6/22/1938 ,FDIC,,ACQUISITION,1361,,
219,,THE BANK OF ASHE,COMMERCIAL BANK,STATE,JEFFERSON,6/24/1938 ,FDIC,,ACQUISITION,312,,
220,,COMMERCIAL BANK OF MARYLAND,COMMERCIAL BANK,STATE,FREDERICK,7/1/1938 ,FDIC,,ACQUISITION,1410,,
221,,BANK OF MILBURN,COMMERCIAL BANK,STATE,MILBURN,7/11/1938 ,FDIC,,PAYOUT,62,79.0,
222,,HUDSON STATE BANK,COMMERCIAL BANK,STATE,HUDSON,7/12/1938 ,FDIC,,PAYOUT,209,254.0,
223,,BETHEL SPRINGS BANK,COMMERCIAL BANK,STATE,BETHEL SPRINGS,7/22/1938 ,FDIC,,ACQUISITION,39,,
224,,TAKOMA PARK BANK,COMMERCIAL BANK,STATE,TAKOMA PARK,7/23/1938 ,FDIC,,ACQUISITION,2048,,
225,,HUTCHINSON COUNTY BANK,COMMERCIAL BANK,STATE,PARKSTON,7/27/1938 ,FDIC,,PAYOUT,215,273.0,
226,,WINOOSKI SAVINGS BANK,SAVINGS BANK,STATE,WINOOSKI,7/28/1938 ,FDIC,,PAYOUT,2479,4008.0,
227,,STATE BANK OF RICE LAKE,COMMERCIAL BANK,STATE,RICE LAKE,8/15/1938 ,FDIC,,PAYOUT,841,946.0,
228,,BANK OF HIGHMORE (DREW BROS.),COMMERCIAL BANK,STATE,HIGHMORE,8/16/1938 ,FDIC,,PAYOUT,79,109.0,
229,,THE FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,MADISON,8/18/1938 ,FDIC,,PAYOUT,95,119.0,
230,,HOME BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,WINCHESTER,8/19/1938 ,FDIC,,PAYOUT,278,401.0,
231,,HITCHCOCK STATE BANK,COMMERCIAL BANK,STATE,HITCHCOCK,8/24/1938 ,FDIC,,PAYOUT,54,79.0,
232,,JERAULD COUNTY BANK,COMMERCIAL BANK,STATE,WESSINGTON SPRINGS,8/31/1938 ,FDIC,,PAYOUT,211,260.0,
233,,FIRST BANK OF FLAXTON,COMMERCIAL BANK,STATE,FLAXTON,8/31/1938 ,FDIC,,PAYOUT,53,80.0,
234,,FIRST STATE BANK,COMMERCIAL BANK,STATE,HEWITT,9/2/1938 ,FDIC,,PAYOUT,112,135.0,
235,,THE SARANAC LAKE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SARANAC LAKE,9/24/1938 ,FDIC,,ACQUISITION,491,,
236,,STOCKMENS STATE BANK,COMMERCIAL BANK,STATE,MEDORA,9/24/1938 ,FDIC,,PAYOUT,74,87.0,
237,,FIRST STATE BANK,COMMERCIAL BANK,STATE,WILMOT,9/29/1938 ,FDIC,,PAYOUT,112,165.0,
238,,BANK OF LOCKPORT,COMMERCIAL BANK,STATE,LOCKPORT,10/11/1938 ,FDIC,,PAYOUT,51,68.0,
239,,BANK OF ETON,COMMERCIAL BANK,STATE,ETON,10/12/1938 ,FDIC,,ACQUISITION,29,,
240,,KERMIT STATE BANK,COMMERCIAL BANK,STATE,KERMIT,11/1/1938 ,FDIC,,PAYOUT,67,120.0,
241,,FAYETTE BANK,COMMERCIAL BANK,STATE,FAYETTE,11/3/1938 ,FDIC,,PAYOUT,303,348.0,
242,,BANK OF BELLFLOWER,COMMERCIAL BANK,STATE,BELLFLOWER,11/5/1938 ,FDIC,,ACQUISITION,52,,
243,,THE BANK OF CUBA,COMMERCIAL BANK,STATE,CUBA,11/26/1938 ,FDIC,,PAYOUT,100,89.0,
244,,FARMERS STATE BANK OF ANAMOOSE,COMMERCIAL BANK,STATE,ANAMOOSE,11/26/1938 ,FDIC,,PAYOUT,39,62.0,
245,,THE FIRST NATIONAL BANK OF ROOSEVELT,COMMERCIAL BANK,FEDERAL,ROOSEVELT,11/26/1938 ,FDIC,,ACQUISITION,1001,,
246,,THE NATIONAL CITY BANK OF LYNN,COMMERCIAL BANK,FEDERAL,LYNN,12/3/1938 ,FDIC,,ACQUISITION,2233,,
247,,COLEMAN STATE BANK,COMMERCIAL BANK,STATE,COLEMAN,12/14/1938 ,FDIC,,ACQUISITION,234,,
248,,BOILING SPRINGS STATE BANK,COMMERCIAL BANK,STATE,BOILING SPRINGS,12/17/1938 ,FDIC,,ACQUISITION,147,,
249,,FARMERS STATE BANK OF LONDON,COMMERCIAL BANK,STATE,LONDON,12/21/1938 ,FDIC,,PAYOUT,287,355.0,
250,,THE HARFORD BANK,COMMERCIAL BANK,STATE,BEL AIR,12/31/1938 ,FDIC,,PAYOUT,669,893.0,
251,,FARMERS STATE BANK,COMMERCIAL BANK,STATE,CANTON,12/31/1938 ,FDIC,,PAYOUT,30,51.0,
252,,OCONTO COUNTY STATE BANK,COMMERCIAL BANK,STATE,OCONTO FALLS,1/4/1939 ,FDIC,,PAYOUT,346,386.0,
253,,THE FIRST NATIONAL BANK OF PRESTON,COMMERCIAL BANK,FEDERAL,PRESTON,1/5/1939 ,FDIC,,PAYOUT,285,304.0,
254,,FIRST STATE BANK,COMMERCIAL BANK,STATE,ELGIN,1/9/1939 ,FDIC,,PAYOUT,287,347.0,
255,,BANK OF HANCOCK,COMMERCIAL BANK,STATE,HANCOCK,1/12/1939 ,FDIC,,ACQUISITION,248,,
256,,FIRST STATE BANK,COMMERCIAL BANK,STATE,MARQUEZ,1/16/1939 ,FDIC,,PAYOUT,46,87.0,
257,,BANK OF SCRANTON,COMMERCIAL BANK,STATE,SCRANTON,1/16/1939 ,FDIC,,PAYOUT,94,153.0,
258,,"THE HILLSBORO-QUEEN ANNE BANK, INC.",COMMERCIAL BANK,STATE,HILLSBORO,1/21/1939 ,FDIC,,ACQUISITION,249,,
259,,THE FARMERS BANK OF NEWTOWN,COMMERCIAL BANK,STATE,NEWTOWN,2/2/1939 ,FDIC,,PAYOUT,89,114.0,
260,,FARMERS STATE BANK IN MERKEL,COMMERCIAL BANK,STATE,MERKEL,2/3/1939 ,FDIC,,PAYOUT,131,183.0,
261,,THE COUDERSPORT TRUST COMPANY,COMMERCIAL BANK,STATE,COUDERSPORT,2/4/1939 ,FDIC,,PAYOUT,706,952.0,
262,,THE AMERICAN NATIONAL BANK OF CAMDEN,COMMERCIAL BANK,FEDERAL,CAMDEN,2/4/1939 ,FDIC,,ACQUISITION,820,,
263,,THE NEW JERSEY TITLE GUARANTEE & TRUST CO.,COMMERCIAL BANK,STATE,JERSEY CITY,2/11/1939 ,FDIC,,PAYOUT,21667,30745.0,
264,,NORTH CAMDEN TRUST COMPANY,COMMERCIAL BANK,STATE,CAMDEN,2/11/1939 ,FDIC,,ACQUISITION,820,,
265,,GROVETON NATIONAL BANK,COMMERCIAL BANK,FEDERAL,GROVETON,2/14/1939 ,FDIC,,ACQUISITION,297,,
266,,THE ST. JOSEPH LOAN & TRUST COMPANY,COMMERCIAL BANK,STATE,SOUTH BEND,2/16/1939 ,FDIC,,ACQUISITION,3202,,
267,,ST. JOSEPH COUNTY SAVINGS BANK,SAVINGS BANK,STATE,SOUTH BEND,2/16/1939 ,FDIC,,ACQUISITION,1584,,
268,,THE FIRST NAT'L BANK & TR CO. OF BLACKWOOD,COMMERCIAL BANK,FEDERAL,BLACKWOOD,2/18/1939 ,FDIC,,ACQUISITION,708,,
269,,PEOPLES STATE BANK,COMMERCIAL BANK,STATE,FRANKFORT,2/21/1939 ,FDIC,,ACQUISITION,1932,,
270,,THE FIRST NATIONAL BANK IN BROOKSVILLE,COMMERCIAL BANK,FEDERAL,BROOKSVILLE,2/25/1939 ,FDIC,,ACQUISITION,274,,
271,,THE BANK OF ROCKY HILL,COMMERCIAL BANK,STATE,ROCKY HILL,3/4/1939 ,FDIC,,PAYOUT,154,163.0,
272,,THE POINT PLEASANT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,POINT PLEASANT,3/7/1939 ,FDIC,,PAYOUT,410,461.0,
273,,STATE BANK OF FORESTVILLE,COMMERCIAL BANK,STATE,FORESTVILLE,3/8/1939 ,FDIC,,PAYOUT,281,342.0,
274,,RAHWAY TRUST COMPANY,COMMERCIAL BANK,STATE,RAHWAY,3/11/1939 ,FDIC,,ACQUISITION,1187,,
275,,STATE BANK OF BREMEN,COMMERCIAL BANK,STATE,BREMEN,3/18/1939 ,FDIC,,PAYOUT,28,61.0,
276,,THE FULTON STATE BANK,COMMERCIAL BANK,STATE,FULTON,3/18/1939 ,FDIC,,PAYOUT,137,168.0,
277,,EDEN STATE BANK,COMMERCIAL BANK,STATE,EDEN,3/18/1939 ,FDIC,,ACQUISITION,179,,
278,,MERCHANTS & FARMERS BANK,COMMERCIAL BANK,STATE,ATKINS,3/23/1939 ,FDIC,,PAYOUT,192,223.0,
279,,BANK OF AMORITA,COMMERCIAL BANK,STATE,AMORITA,4/6/1939 ,FDIC,,PAYOUT,117,132.0,
280,,THE FIRST NATIONAL BANK OF PLAINFIELD,COMMERCIAL BANK,FEDERAL,PLAINFIELD,4/8/1939 ,FDIC,,ACQUISITION,4080,,
281,,BANK OF BRUSSELS,COMMERCIAL BANK,STATE,BRUSSELS,4/14/1939 ,FDIC,,ACQUISITION,148,,
282,,WEST BERGEN TRUST COMPANY,COMMERCIAL BANK,STATE,JERSEY CITY,4/20/1939 ,FDIC,,ACQUISITION,2686,,
283,,THE TRUST COMPANY OF NEW JERSEY,COMMERCIAL BANK,STATE,JERSEY CITY,4/20/1939 ,FDIC,,ACQUISITION,48822,,
284,,RIPLEY SAVINGS BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,RIPLEY,4/28/1939 ,FDIC,,PAYOUT,739,794.0,
285,,HUDSON TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY,4/29/1939 ,FDIC,,ACQUISITION,24484,,
286,,BANK OF EDEN,COMMERCIAL BANK,STATE,EDEN,4/29/1939 ,FDIC,,ACQUISITION,734,,
287,,COLUMBIA TRUST COMPANY OF NEW JERSEY,COMMERCIAL BANK,STATE,HOBOKEN,4/29/1939 ,FDIC,,ACQUISITION,1484,,
288,,TATUM STATE BANK,COMMERCIAL BANK,STATE,TATUM,5/2/1939 ,FDIC,,PAYOUT,17,47.0,
289,,THE PARKSLEY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,PARKSLEY,5/18/1939 ,FDIC,,PAYOUT,182,279.0,
290,,BANK OF HARTLAND,COMMERCIAL BANK,STATE,HARTLAND,5/29/1939 ,FDIC,,PAYOUT,370,455.0,
291,,GLOUCESTER CITY TRUST COMPANY,COMMERCIAL BANK,STATE,GLOUCESTER CITY,6/3/1939 ,FDIC,,ACQUISITION,1160,,
292,,COMMONWEALTH TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY,6/3/1939 ,FDIC,,ACQUISITION,5763,,
293,,MERCHANTS TRUST COMPANY,COMMERCIAL BANK,STATE,UNION CITY,6/3/1939 ,FDIC,,ACQUISITION,5593,,
294,,GLENDIVE STATE BANK,COMMERCIAL BANK,STATE,GLENDIVE,6/15/1939 ,FDIC,,PAYOUT,119,162.0,
295,,THE HAMILTON TRUST COMPANY OF PATERSON,COMMERCIAL BANK,STATE,PATERSON,6/17/1939 ,FDIC,,PAYOUT,2860,3734.0,
296,,THE PLANTSVILLE NATIONAL BANK,COMMERCIAL BANK,STATE,PLANTSVILLE,6/24/1939 ,FDIC,,PAYOUT,464,380.0,
297,,PLEASANTVILLE TRUST COMPANY,COMMERCIAL BANK,STATE,PLEASANTVILLE,6/30/1939 ,FDIC,,PAYOUT,936,1116.0,
298,,KEARNY NATIONAL BANK,COMMERCIAL BANK,FEDERAL,KEARNY,6/30/1939 ,FDIC,,ACQUISITION,3092,,
299,,WEST HUDSON COUNTY TRUST COMPANY,COMMERCIAL BANK,STATE,HARRISON,6/30/1939 ,FDIC,,ACQUISITION,5773,,
300,,FIRST STATE BANK OF O'FALLON,COMMERCIAL BANK,STATE,O'FALLON,8/28/1939 ,FDIC,,PAYOUT,102,50.0,
301,,RARDIN STATE BANK,COMMERCIAL BANK,STATE,RARDIN,8/30/1939 ,FDIC,,ACQUISITION,3092,,
302,,PROVIDENCE CITIZENS BANK,COMMERCIAL BANK,STATE,PROVIDENCE,9/1/1939 ,FDIC,,PAYOUT,251,306.0,
303,,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,CATO,9/15/1939 ,FDIC,,PAYOUT,82,97.0,
304,,SECURITY STATE BANK,COMMERCIAL BANK,STATE,LAWRENCE,10/3/1939 ,FDIC,,PAYOUT,96,121.0,
305,,THE EGG HARBOR COMMERCIAL BANK,COMMERCIAL BANK,STATE,EGG HARBOR CITY,10/7/1939 ,FDIC,,ACQUISITION,865,,
306,,THE FARMERS STATE BANK,COMMERCIAL BANK,STATE,CUBA,11/25/1939 ,FDIC,,ACQUISITION,94,,
307,,COMMERCIAL BANK OF LIBERTY,COMMERCIAL BANK,STATE,LIBERTY,11/25/1939 ,FDIC,,PAYOUT,502,548.0,
308,,THE YONKERS NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,YONKERS,12/4/1939 ,FDIC,,ACQUISITION,8849,,
309,,THE STATE BANK OF LIEBENTHAL,COMMERCIAL BANK,STATE,LIEBENTHAL,12/6/1939 ,FDIC,,PAYOUT,58,60.0,
310,,MAYNARDVILLE STATE BANK,COMMERCIAL BANK,STATE,MAYNARDVILLE,12/11/1939 ,FDIC,,PAYOUT,186,218.0,
311,,THE TUCKERTON BANK,COMMERCIAL BANK,STATE,TUCKERTON,12/27/1939 ,FDIC,,PAYOUT,624,735.0,
312,,GUARANTY BOND STATE BANK,COMMERCIAL BANK,STATE,NORTH ZULCH,1/4/1940 ,FDIC,,PAYOUT,119,169.0,
313,,THE CITIZENS STATE BANK OF NIANGUA,COMMERCIAL BANK,STATE,NIANGUA,1/12/1940 ,FDIC,,PAYOUT,119,143.0,
314,,INTEGRITY TRUST COMPANY,COMMERCIAL BANK,STATE,PHILADELPHIA,1/13/1940 ,FDIC,,ACQUISITION,29362,,
315,,BANKERS TRUST COMPANY,COMMERCIAL BANK,STATE,ATLANTIC CITY,2/1/1940 ,FDIC,,PAYOUT,986,2131.0,
316,,WOODCLIFF TRUST COMPANY,COMMERCIAL BANK,STATE,NORTH BERGEN,2/3/1940 ,FDIC,,ACQUISITION,1492,,
317,,THE NATIONAL BANK OF WESTFIELD,COMMERCIAL BANK,FEDERAL,WESTFIELD,2/24/1940 ,FDIC,,ACQUISITION,1611,,
318,,BANK OF BROCTON,COMMERCIAL BANK,STATE,BROCTON,2/24/1940 ,FDIC,,ACQUISITION,444,,
319,,HARTFORD SAVINGS BANK AND TRUST COMPANY,COMMERCIAL BANK,STATE,WHITE RIVER JUNCTION,3/9/1940 ,FDIC,,ACQUISITION,352,,
320,,EUGENE STATE BANK,COMMERCIAL BANK,STATE,EUGENE,3/13/1940 ,FDIC,,PAYOUT,106,128.0,
321,,THE SWEDESBORO NATIONAL BANK,COMMERCIAL BANK,FEDERAL,SWEDESBORO,3/16/1940 ,FDIC,,ACQUISITION,680,,
322,,FARMERS BANK,COMMERCIAL BANK,STATE,DRY RIDGE,3/23/1940 ,FDIC,,PAYOUT,286,363.0,
323,,THE FIRST NATIONAL BANK OF WENATCHEE,COMMERCIAL BANK,FEDERAL,WENATCHEE,3/26/1940 ,FDIC,,ACQUISITION,1548,,
324,,BLAIRSVILLE SAVINGS AND TRUST COMPANY,COMMERCIAL BANK,STATE,BLAIRSVILLE,4/4/1940 ,FDIC,,PAYOUT,1390,1821.0,
325,,FIRST TRUST & DEPOSIT COMPANY,COMMERCIAL BANK,STATE,SYRACUSE,4/6/1940 ,FDIC,,ACQUISITION,48256,,
326,,BALDWINSVILLE STATE BANK,COMMERCIAL BANK,STATE,BALDWINSVILLE,4/6/1940 ,FDIC,,ACQUISITION,807,,
327,,BANK OF REEDER,COMMERCIAL BANK,STATE,REEDER,4/17/1940 ,FDIC,,ACQUISITION,125,,
328,,FIRST STATE BANK,COMMERCIAL BANK,STATE,WISHEK,4/18/1940 ,FDIC,,PAYOUT,113,136.0,
329,,ASHLEY STATE BANK,COMMERCIAL BANK,STATE,ASHLEY,4/18/1940 ,FDIC,,PAYOUT,172,247.0,
330,,BANK OF MORELAND,COMMERCIAL BANK,STATE,MORELAND,4/19/1940 ,FDIC,,PAYOUT,124,142.0,
331,,THE RYE NATIONAL BANK,COMMERCIAL BANK,FEDERAL,RYE,4/20/1940 ,FDIC,,ACQUISITION,3358,,
332,,THE FIRST NATIONAL BANK OF HARRISON,COMMERCIAL BANK,FEDERAL,HARRISON,4/20/1940 ,FDIC,,ACQUISITION,1924,,
333,,THE FIRST NATIONAL BANK OF BALLY,COMMERCIAL BANK,FEDERAL,BALLY,4/27/1940 ,FDIC,,ACQUISITION,619,,
334,,MACKEY STATE BANK,COMMERCIAL BANK,STATE,MACKEY,5/9/1940 ,FDIC,,PAYOUT,25,40.0,
335,,THE SOUTHAMPTON BANK,COMMERCIAL BANK,STATE,SOUTHAMPTON,6/8/1940 ,FDIC,,ACQUISITION,1274,,
336,,FIRST STATE BANK OF STONEWALL,COMMERCIAL BANK,STATE,STONEWALL,6/13/1940 ,FDIC,,PAYOUT,147,143.0,
337,,THE LUCERNE STATE BANK,COMMERCIAL BANK,STATE,LUCERNE,6/22/1940 ,FDIC,,PAYOUT,166,195.0,
338,,THE WESTFIELD TRUST COMPANY,COMMERCIAL BANK,STATE,WESTFIELD,6/22/1940 ,FDIC,,ACQUISITION,4668,,
339,,FIRST STATE BANK OF SCOTCH PLAINS,COMMERCIAL BANK,STATE,SCOTCH PLAINS,6/22/1940 ,FDIC,,ACQUISITION,612,,
340,,WAUSHARA COUNTY BANK,COMMERCIAL BANK,STATE,PLAINFIELD,6/25/1940 ,FDIC,,ACQUISITION,267,,
341,,KANE TRUST AND SAVINGS BANK,COMMERCIAL BANK,STATE,KANE,7/2/1940 ,FDIC,,PAYOUT,717,915.0,
342,,CHASEBURG STATE BANK,COMMERCIAL BANK,STATE,CHASEBURG,7/13/1940 ,FDIC,,ACQUISITION,341,,
343,,THE CLAXTON STATE BANK,COMMERCIAL BANK,STATE,CLAXTON,7/20/1940 ,FDIC,,PAYOUT,162,223.0,
344,,MOUNT PLEASANT BANK & TRUST CO.,COMMERCIAL BANK,STATE,PLEASANTVILLE,7/20/1940 ,FDIC,,ACQUISITION,2137,,
345,,BANK OF WILLIAMSVILLE,COMMERCIAL BANK,STATE,WILLIAMSVILLE,7/27/1940 ,FDIC,,ACQUISITION,1775,,
346,,BADGER STATE BANK,COMMERCIAL BANK,STATE,BADGER,8/3/1940 ,FDIC,,PAYOUT,53,74.0,
347,,MT. UNION STATE BANK,COMMERCIAL BANK,STATE,MT. UNION,8/24/1940 ,FDIC,,ACQUISITION,179,,
348,,FIRST CITIZENS BANK & TRUST CO. OF UTICA,COMMERCIAL BANK,STATE,UTICA,9/14/1940 ,FDIC,,ACQUISITION,34277,,
349,,THE BANK OF LESLIE,COMMERCIAL BANK,STATE,LESLIE,9/18/1940 ,FDIC,,PAYOUT,113,141.0,
350,,SAVINGS BANK OF NANTICOKE,COMMERCIAL BANK,STATE,NANTICOKE,10/4/1940 ,FDIC,,PAYOUT,159,190.0,
351,,BANK OF EAGLE,COMMERCIAL BANK,STATE,EAGLE,10/25/1940 ,FDIC,,PAYOUT,387,457.0,
352,,THE FIRST NATIONAL BANK OF BURLINGAME,COMMERCIAL BANK,FEDERAL,BURLINGAME,11/19/1940 ,FDIC,,PAYOUT,256,301.0,
353,,THE STATE EXCHANGE BANK,COMMERCIAL BANK,STATE,HOLLEY,11/23/1940 ,FDIC,,ACQUISITION,986,,
354,,THE AMERICAN NAT BK OF SANTA MONICA,COMMERCIAL BANK,FEDERAL,SANTA MONICA,12/4/1940 ,FDIC,,ACQUISITION,1078,,
355,,BANK OF JAMESTOWN,COMMERCIAL BANK,STATE,JAMESTOWN,1/11/1941 ,FDIC,,PAYOUT,156,186.0,
356,,THE FIRST NATIONAL BANK OF ANADARKO,COMMERCIAL BANK,FEDERAL,ANADARKO,1/17/1941 ,FDIC,,PAYOUT,725,822.0,
357,,FIRST STATE BANK & TRUST CO. OF INDIANOLA,COMMERCIAL BANK,STATE,INDIANOLA,1/29/1941 ,FDIC,,PAYOUT,165,195.0,
358,,BANK OF BALDWYN,COMMERCIAL BANK,STATE,BALDWYN,3/8/1941 ,FDIC,,PAYOUT,179,233.0,
359,,THE KESWICK NATIONAL BANK OF GLENSIDE,COMMERCIAL BANK,FEDERAL,GLENSIDE,4/12/1941 ,FDIC,,PAYOUT,1200,1307.0,
360,,MUTUAL TRUST CO. OF WESTCHESTER COUNTY,COMMERCIAL BANK,STATE,PORT CHESTER,4/26/1941 ,FDIC,,ACQUISITION,2495,,
361,,THE FIRST NAT BK & TR CO. OF PORT CHESTER,COMMERCIAL BANK,FEDERAL,PORT CHESTER,4/26/1941 ,FDIC,,ACQUISITION,5157,,
362,,THE EXCHANGE STATE BANK,COMMERCIAL BANK,STATE,PARSONS,6/23/1941 ,FDIC,,ACQUISITION,455,,
363,,"BANK OF AU SABLE FORKS, N.Y.",COMMERCIAL BANK,STATE,AU SABLE FORKS,9/29/1941 ,FDIC,,ACQUISITION,800,,
364,,THE FIRST NATIONAL BANK OF FORESTVILLE,COMMERCIAL BANK,FEDERAL,FORESTVILLE,11/1/1941 ,FDIC,,PAYOUT,303,328.0,
365,,THE FIRST NATIONAL BANK OF DODGEVILLE,COMMERCIAL BANK,FEDERAL,DODGEVILLE,11/29/1941 ,FDIC,,PAYOUT,907,941.0,
366,,BANCO DI NAPOLI TRUST CO. OF NEW YORK,COMMERCIAL BANK,STATE,NEW YORK,12/11/1941 ,FDIC,,PAYOUT,10991,13799.0,
367,,THE ST. CHARLES STATE BANK,COMMERCIAL BANK,STATE,ST. CHARLES,12/13/1941 ,FDIC,,ACQUISITION,412,,
368,,THE FRANKLIN TRUST CO.,COMMERCIAL BANK,STATE,FRANKLIN,12/22/1941 ,FDIC,,ACQUISITION,3196,,
369,,THE LAMBERTON NATIONAL BANK OF FRANKLIN,COMMERCIAL BANK,FEDERAL,FRANKLIN,12/22/1941 ,FDIC,,ACQUISITION,2476,,
370,,PROVIDENCE BANK,COMMERCIAL BANK,STATE,SCRANTON,1/17/1942 ,FDIC,,ACQUISITION,754,,
371,,PALISADE STATE BANK,COMMERCIAL BANK,STATE,PALISADE,1/21/1942 ,FDIC,,PAYOUT,88,91.0,
372,,THE LOUISA NATIONAL BANK,COMMERCIAL BANK,FEDERAL,LOUISA,1/31/1942 ,FDIC,,ACQUISITION,477,,
373,,BANK OF DRAPER,COMMERCIAL BANK,STATE,DRAPER,2/6/1942 ,FDIC,,PAYOUT,83,129.0,
374,,THE HADDONFIELD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,HADDONFIELD,2/28/1942 ,FDIC,,ACQUISITION,2662,,
375,,THE CITIZENS NATIONAL BANK OF FREEPORT,COMMERCIAL BANK,FEDERAL,FREEPORT,3/7/1942 ,FDIC,,ACQUISITION,1279,,
376,,THE FIRST NATIONAL BANK OF WEATHERLY,COMMERCIAL BANK,FEDERAL,WEATHERLY,3/14/1942 ,FDIC,,ACQUISITION,521,,
377,,FLORAL PARK BANK  AND TRUST COMPANY,COMMERCIAL BANK,STATE,FLORAL PARK,3/28/1942 ,FDIC,,ACQUISITION,1999,,
378,,BANK OF MALONE,COMMERCIAL BANK,STATE,MALONE,3/31/1942 ,FDIC,,PAYOUT,140,149.0,
379,,THE EMMAUS NATIONAL BANK,COMMERCIAL BANK,FEDERAL,EMMAUS,4/25/1942 ,FDIC,,ACQUISITION,1399,,
380,,THE FIRST NAT BK & TR CO. OF DALLASTOWN,COMMERCIAL BANK,FEDERAL,DALLASTOWN,6/20/1942 ,FDIC,,ACQUISITION,1351,,
381,,FARMER'S AND MERCHANT'S BANK,COMMERCIAL BANK,STATE,COCHRANE,7/6/1942 ,FDIC,,PAYOUT,325,395.0,
